name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
backbone.4.m.0.cv1.silu,SiLU,Backbone,Enclave,9.206006599924876,0.031356756625814594,9.159475000160455,9.248512999874947,9.242906999861589,9.247391799872275,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv1.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.0.cv2.conv,Conv2d,Backbone,Enclave,129.67000379994715,1.939582247127747,126.49506599973392,132.190792000074,131.95018120004534,132.14266984006827,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv1.silu'],5,7143936,7143936,60,7143996,589824,512,6553600,1,60
backbone.4.m.0.cv2.bn,BatchNorm2d,Backbone,Enclave,1.3289194001117721,0.014631860215819149,1.3108020002619014,1.3445470003716764,1.3443530002405168,1.3445082003454445,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv2.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.0.cv2.silu,SiLU,Backbone,Enclave,9.244022200073232,0.05435267782081483,9.172652999950515,9.305766000579752,9.305575000325916,9.305727800528985,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv2.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.1.cv1.conv,Conv2d,Backbone,Enclave,71.04718740010867,3.855026486188365,68.547044999832,78.63997900039976,76.99507420038572,78.31099804039695,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.0.cv2.silu'],5,6619648,6619648,60,6619708,65536,512,6553600,1,60
backbone.4.m.1.cv1.bn,BatchNorm2d,Backbone,Enclave,1.4486417998341494,0.24528375338643368,1.3116549998812843,1.9389230001252145,1.818670400098199,1.9148724801198114,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv1.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.1.cv1.silu,SiLU,Backbone,Enclave,10.072463200049242,1.0581664649066744,9.161144000245258,11.472739000055299,11.429769200003648,11.464145040044968,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv1.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.1.cv2.conv,Conv2d,Backbone,Enclave,130.49500539982546,3.922652336524453,127.05127499975788,138.14126400029636,136.46599920029985,137.80621104029706,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv1.silu'],5,7143936,7143936,60,7143996,589824,512,6553600,1,60
backbone.4.m.1.cv2.bn,BatchNorm2d,Backbone,Enclave,1.4226937999410438,0.2089063729799121,1.3011629998800345,1.839937000113423,1.7382716001520748,1.8196039201211534,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv2.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.1.cv2.silu,SiLU,Backbone,Enclave,10.058211999785271,1.046954095958241,9.171824999612,11.466320999716118,11.414300599790295,11.455916919730953,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv2.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.2.cv1.conv,Conv2d,Backbone,Enclave,70.13499940003385,1.0247448047859158,68.53599399983068,71.4575590000095,71.30149439999514,71.42634608000662,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.1.cv2.silu'],5,6619648,6619648,60,6619708,65536,512,6553600,1,60
backbone.4.m.2.cv1.bn,BatchNorm2d,Backbone,Enclave,1.5402938002807787,0.367571509986228,1.3141930003257585,2.2705400006088894,2.10271800042392,2.2369756005718955,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv1.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.2.cv1.silu,SiLU,Backbone,Enclave,9.214594600052806,0.030197897363996043,9.158462000414147,9.238869000000705,9.238821200051461,9.238859440010856,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv1.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.2.cv2.conv,Conv2d,Backbone,Enclave,130.07569319961476,3.220256650624291,126.60042399966187,135.8345439994082,134.7139965995666,135.61043451943988,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv1.silu'],5,7143936,7143936,60,7143996,589824,512,6553600,1,60
backbone.4.m.2.cv2.bn,BatchNorm2d,Backbone,Enclave,1.3291580000441172,0.01030065788495293,1.3196890004110173,1.3427320000118925,1.342328600003384,1.3426513200101908,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv2.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.2.cv2.silu,SiLU,Backbone,Enclave,9.220190599990019,0.03851769738843971,9.182583999972849,9.288824000577733,9.277047600335209,9.286468720529228,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv2.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
backbone.4.m.3.cv1.conv,Conv2d,Backbone,Enclave,67.21277079996071,0.34615412635149356,66.80377699922246,67.62919600078021,67.62115320052544,67.62758744072926,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.2.cv2.silu'],5,6619648,6619648,60,6619708,65536,512,6553600,1,60
backbone.4.m.3.cv1.bn,BatchNorm2d,Backbone,Enclave,1.373030000286235,0.09193373322492224,1.3207829997554654,1.5566560005026986,1.5118834004169912,1.5477014804855571,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.3.cv1.conv'],5,6555648,6555648,60,6555708,1024,1024,6553600,1,60
backbone.4.m.3.cv1.silu,SiLU,Backbone,Enclave,9.23120019997441,0.046661231027988005,9.165471000414982,9.30429300024116,9.29384260016377,9.302202920225682,0.0,0.0,0.0,0.0,3276800,3276800,"[1, 128, 80, 80]","[1, 128, 80, 80]",['backbone.4.m.3.cv1.bn'],5,6553600,6553600,60,6553660,0,0,6553600,1,60
