name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
block4_attn_v_matmul,MatMul,Block4,16.6445468,0.3225213867,16.053361,17.326058,17.12919605,17.28668561,0.5031507999,0.01408609742,0.490546,0.5386370003,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block4_attn_softmax', 'block4_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block4_attn_out_proj,Linear,Block4,3.7099765,0.1092367911,3.524489,3.830940999,3.827687049,3.830290209,1.6265145,0.01798047164,1.603107,1.664356,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block4_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block4_norm2,LayerNorm,Block4,0.4176067998,0.02135661861,0.3922679989,0.4695690004,0.4559619007,0.4668475805,0.0863563002,0.01111886426,0.0790109998,0.1148670008,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block4_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block4_ffn_fc1,Linear,Block4,31.2862475,0.5044806728,30.372016,31.809444,31.74451215,31.79645763,6.6897991,0.3895123938,6.224853,7.359309,605184,2420736,"[1, 197, 768]","[1, 197, 3072]",['block4_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12475392,12475392,60,12475452,9437184,12288,3025920,1,60
block4_ffn_gelu,GELU,Block4,14.9557884,0.09582819118,14.801415,15.130662,15.1010961,15.12474882,1.3784374,0.02870179712,1.320777999,1.425985,2420736,2420736,"[1, 197, 3072]","[1, 197, 3072]",['block4_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,4841472,4841472,60,4841532,0,0,4841472,1,60
block4_ffn_fc2,Linear,Block4,14.30187,0.3907864572,13.58759,14.963683,14.855071,14.9419606,6.6677757,0.2046214126,6.447553,6.991427001,2420736,605184,"[1, 197, 3072]","[1, 197, 768]",['block4_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12466176,12466176,60,12466236,9437184,3072,3025920,1,60
block5_norm1,LayerNorm,Block5,0.4203044,0.01394747923,0.3994269991,0.4483270004,0.4406950001,0.4468006003,0.08369400011,0.006186920405,0.07972399999,0.1017840004,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block4_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block5_attn_qkv_proj,Linear,Block5,24.0464505,0.5126309354,23.256678,25.223461,24.8182261,25.14241402,4.8111404,0.221381671,4.663921,5.30587,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block5_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block5_attn_qk_matmul,MatMul,Block5,22.5911012,0.1569739153,22.377366,22.942214,22.8263768,22.91904656,0.7305272999,0.0232652795,0.7029439994,0.7832349993,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block5_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block5_attn_softmax,Softmax,Block5,5.186932901,0.09172867163,5.080695,5.411761002,5.332508351,5.395910472,0.7374240999,0.006963820007,0.7247309995,0.7481880002,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block5_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
block5_attn_v_matmul,MatMul,Block5,16.2778748,0.2777269574,15.795795,16.614428,16.6136675,16.6142759,0.4999400999,0.01107542314,0.4877780002,0.5182909999,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block5_attn_softmax', 'block5_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block5_attn_out_proj,Linear,Block5,3.6522399,0.1283744688,3.525328,3.883563,3.87680535,3.88221147,1.6156023,0.01436784343,1.592717,1.64372,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block5_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block5_norm2,LayerNorm,Block5,0.4108775,0.01442715094,0.3890890002,0.4367580004,0.4313652002,0.4356794404,0.08029199998,0.002483221037,0.07868300054,0.08737600001,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block5_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
