9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
reduction_a_b2_1x1,SGXConvBase,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4141,0.3062,3.8326,4.7920,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
reduction_a_b2_relu1,SecretReLULayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0325,0.0041,0.0289,0.0409,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
reduction_a_b2_3x3,SGXConvBase,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6575,0.0380,3.6069,3.7301,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
reduction_a_b2_relu2,SecretReLULayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0314,0.0016,0.0299,0.0352,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
reduction_a_b2_3x3_stride2,SGXConvBase,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8830,3.2966,5.1084,15.1610,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",,10
reduction_a_b2_relu3,SecretReLULayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0006,0.0182,0.0200,443904,443904,"[1, 384, 17, 17]","[1, 384, 17, 17]",,10
reduction_a_b3_pool,SecretMaxpool2dLayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1091,0.3066,1.8789,2.6592,295936,295936,"[1, 256, 17, 17]","[1, 256, 17, 17]",,10
reduction_a_concat,SecretConcatenateLayer,Reduction-A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b1_b1_1x1,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1666,0.0132,1.1485,1.1949,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b1_relu,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,0.0025,0.0086,0.0151,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b2_1x1,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5601,0.0122,0.5429,0.5813,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b1_b2_relu1,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,0.0019,0.0097,0.0146,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b1_b2_3x3,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1954,0.0428,1.1615,1.3048,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b2_relu2,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0001,0.0182,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b3_1x1,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5624,0.0109,0.5460,0.5817,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b1_b3_relu1,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,0.0004,0.0098,0.0109,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b1_b3_3x3_1,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1699,0.0130,1.1541,1.1980,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b3_relu2,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0002,0.0181,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b3_3x3_2,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1670,0.0088,1.1562,1.1862,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b3_relu3,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0190,0.0018,0.0182,0.0243,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b4_pool,SecretMaxpool2dLayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7206,0.0307,5.6613,5.7572,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b1_b4_1x1,SGXConvBase,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1611,0.0063,1.1498,1.1690,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_b4_relu,SecretReLULayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0184,0.0002,0.0182,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b1_concat,SecretConcatenateLayer,Inception-B1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b2_b1_1x1,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1578,0.0087,1.1496,1.1793,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b1_relu,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0006,0.0180,0.0200,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b2_1x1,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5621,0.0109,0.5407,0.5743,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b2_b2_relu1,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,0.0002,0.0096,0.0102,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b2_b2_3x3,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1711,0.0106,1.1531,1.1902,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b2_relu2,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0029,0.0102,0.0207,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b3_1x1,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5602,0.0092,0.5432,0.5737,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b2_b3_relu1,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,0.0001,0.0095,0.0098,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b2_b3_3x3_1,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3601,0.0930,1.1642,1.4536,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b3_relu2,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0010,0.0111,0.0140,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b3_3x3_2,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4464,0.0637,1.3498,1.5622,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b3_relu3,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0010,0.0101,0.0131,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b4_pool,SecretMaxpool2dLayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9468,0.2996,6.2025,7.4375,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b2_b4_1x1,SGXConvBase,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4187,0.0193,1.3815,1.4438,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_b4_relu,SecretReLULayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0140,0.0007,0.0130,0.0156,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b2_concat,SecretConcatenateLayer,Inception-B2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",,10
inception_b3_b1_1x1,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4222,0.0416,1.3447,1.5021,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b1_relu,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0006,0.0134,0.0150,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b2_1x1,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7146,0.0144,0.6856,0.7368,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b3_b2_relu1,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.0007,0.0118,0.0141,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b3_b2_3x3,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4204,0.0249,1.3718,1.4594,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b2_relu2,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,0.0040,0.0102,0.0237,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b3_1x1,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6668,0.0225,0.6003,0.6799,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b3_b3_relu1,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,0.0057,0.0098,0.0279,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",,10
inception_b3_b3_3x3_1,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3571,0.0996,1.2171,1.4843,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b3_relu2,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0162,0.0027,0.0138,0.0215,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b3_3x3_2,SGXConvBase,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1775,0.0071,1.1652,1.1892,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
inception_b3_b3_relu3,SecretReLULayer,Inception-B3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0002,0.0181,0.0187,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",,10
